Epoch [0], last_lr: 0.00104, train_loss: 0.5185, val_loss: 0.4297, val_acc: 0.8032
Epoch [1], last_lr: 0.00280, train_loss: 0.4089, val_loss: 0.3745, val_acc: 0.8268
Epoch [2], last_lr: 0.00520, train_loss: 0.3480, val_loss: 0.3282, val_acc: 0.8560
Epoch [3], last_lr: 0.00760, train_loss: 0.3242, val_loss: 0.3388, val_acc: 0.8520
Epoch [4], last_lr: 0.00936, train_loss: 0.3460, val_loss: 0.5178, val_acc: 0.7192
Epoch [5], last_lr: 0.01000, train_loss: 0.2661, val_loss: 0.3196, val_acc: 0.8568
Epoch [6], last_lr: 0.00987, train_loss: 0.1522, val_loss: 0.2288, val_acc: 0.9024
Epoch [7], last_lr: 0.00950, train_loss: 0.1636, val_loss: 0.2019, val_acc: 0.9168
Epoch [8], last_lr: 0.00891, train_loss: 0.2652, val_loss: 0.2543, val_acc: 0.8932
Epoch [9], last_lr: 0.00812, train_loss: 0.1717, val_loss: 0.1857, val_acc: 0.9236
Epoch [10], last_lr: 0.00717, train_loss: 0.0730, val_loss: 0.1705, val_acc: 0.9316
Epoch [11], last_lr: 0.00611, train_loss: 0.3250, val_loss: 0.1680, val_acc: 0.9268
Epoch [12], last_lr: 0.00500, train_loss: 0.2277, val_loss: 0.3227, val_acc: 0.8508
Epoch [13], last_lr: 0.00389, train_loss: 0.1021, val_loss: 0.1311, val_acc: 0.9440
Epoch [14], last_lr: 0.00283, train_loss: 0.1209, val_loss: 0.1279, val_acc: 0.9464
Epoch [15], last_lr: 0.00188, train_loss: 0.0423, val_loss: 0.1081, val_acc: 0.9524
Epoch [16], last_lr: 0.00109, train_loss: 0.0911, val_loss: 0.0985, val_acc: 0.9596
Epoch [17], last_lr: 0.00050, train_loss: 0.0414, val_loss: 0.0926, val_acc: 0.9592
Epoch [18], last_lr: 0.00013, train_loss: 0.0109, val_loss: 0.0817, val_acc: 0.9688
Epoch [19], last_lr: 0.00000, train_loss: 0.0752, val_loss: 0.0848, val_acc: 0.9672
